Created with UCDetector 1.10.0	2014-06-19 08:29:27	http://www.ucdetector.org/	
Location	Description	Java	Marker	Author
com.l2fprod.common.Version.getBuildDate(Version.java:22)	Method "Version.getBuildDate()" has 0 references	Version.getBuildDate()	org.ucdetector.analyzeMarkerReference	JReleaseInfo AntTask
com.l2fprod.common.Version.getYear(Version.java:42)	Method "Version.getYear()" has 0 references	Version.getYear()	org.ucdetector.analyzeMarkerReference	JReleaseInfo AntTask
com.l2fprod.common.Version.getProject(Version.java:62)	Method "Version.getProject()" has 0 references	Version.getProject()	org.ucdetector.analyzeMarkerReference	JReleaseInfo AntTask
com.l2fprod.common.beans.BaseBeanInfo.getPropertyDescriptor(BaseBeanInfo.java:71)	Method "BaseBeanInfo.getPropertyDescriptor(int)" has 0 references	BaseBeanInfo.getPropertyDescriptor(int)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.beans.BaseBeanInfo.addPropertyDescriptor(BaseBeanInfo.java:75)	Change visibility of Method "BaseBeanInfo.addPropertyDescriptor(PropertyDescriptor)" to private	BaseBeanInfo.addPropertyDescriptor(PropertyDescriptor)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.beans.BaseBeanInfo.removeProperty(BaseBeanInfo.java:114)	Method "BaseBeanInfo.removeProperty(String)" has 0 references	BaseBeanInfo.removeProperty(String)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.beans.BaseBeanInfo.getText(BaseBeanInfo.java:145)	Change visibility of Method "BaseBeanInfo.getText(Object)" to private	BaseBeanInfo.getText(Object)	org.ucdetector.analyzeMarkerVisibilityPrivate	
com.l2fprod.common.beans.BaseBeanInfo.getDescription(BaseBeanInfo.java:156)	Method "BaseBeanInfo.getDescription(Object)" has 0 references	BaseBeanInfo.getDescription(Object)	org.ucdetector.analyzeMarkerReference	
com.l2fprod.common.beans.BaseBeanInfo.getToolTipText(BaseBeanInfo.java:167)	Method "BaseBeanInfo.getToolTipText(Object)" has 0 references	BaseBeanInfo.getToolTipText(Object)	org.ucdetector.analyzeMarkerReference	
